   -1.800      6.090     10.526
   -1.700      6.001     10.337
   -1.600      5.919     10.156
   -1.500      5.839      9.976
   -1.400      5.763      9.799
   -1.300      5.680      9.617
   -1.200      5.601      9.438
   -1.100      5.520      9.257
   -1.000      5.438      9.075
   -0.900      5.373      8.910
   -0.800      5.289      8.726
   -0.700      5.212      8.549
   -0.600      5.132      8.369
   -0.500      5.056      8.193
   -0.400      4.971      8.008
   -0.300      4.898      7.835
   -0.200      4.811      7.648
   -0.100      4.727      7.464
    0.000      4.639      7.276
    0.100      4.553      7.090
    0.200      4.459      6.896
    0.300      4.367      6.704
    0.400      4.275      6.512
    0.500      4.183      6.320
    0.600      4.071      6.108
    0.700      3.968      5.904
    0.800      3.864      5.701
    0.900      3.765      5.502
    1.000      3.665      5.302
    1.100      3.556      5.093
    1.200      3.440      4.877
    1.300      3.337      4.674
    1.400      3.227      4.464
    1.500      3.120      4.257
    1.600      3.013      4.049
    1.700      2.913      3.850
    1.800      2.807      3.644
    1.900      2.710      3.447
    2.000      2.598      3.235
    2.100      2.502      3.039
    2.200      2.399      2.836
    2.300      2.292      2.629
    2.400      2.186      2.423
    2.500      2.082      2.219
    2.600      1.982      2.018
    2.700      1.867      1.804
    2.800      1.758      1.595
    2.900      1.636      1.373
    3.000      1.522      1.159
    3.100      1.370      0.907
    3.200      1.252      0.689
    3.300      1.106      0.443
    3.400      0.939      0.176
    3.500      0.782     -0.081
    3.600      0.620     -0.343
    3.700      0.447     -0.616
    3.800      0.243     -0.920
    3.900      0.065     -1.198
    4.000     -0.160     -1.523
