  0.631E+01    0.184E+00   0.497E-02   0.179E+00   0.586E-01   0.124E+00   0.553E-01
  0.794E+01    0.964E-01   0.321E-02   0.932E-01   0.311E-01   0.613E-01   0.319E-01
  0.100E+02    0.509E-01   0.128E-02   0.497E-01   0.171E-01   0.315E-01   0.182E-01
  0.126E+02    0.256E-01   0.438E-03   0.251E-01   0.824E-02   0.155E-01   0.962E-02
  0.158E+02    0.133E-01   0.305E-03   0.130E-01   0.398E-02   0.801E-02   0.496E-02
  0.200E+02    0.665E-02   0.121E-03   0.653E-02   0.225E-02   0.356E-02   0.298E-02
  0.251E+02    0.354E-02   0.961E-04   0.345E-02   0.975E-03   0.197E-02   0.147E-02
  0.316E+02    0.150E-02   0.000E+00   0.150E-02   0.458E-03   0.894E-03   0.611E-03
  0.398E+02    0.823E-03   0.000E+00   0.823E-03   0.234E-03   0.460E-03   0.363E-03
  0.501E+02    0.406E-03   0.000E+00   0.406E-03   0.117E-03   0.193E-03   0.213E-03
  0.631E+02    0.202E-03   0.000E+00   0.202E-03   0.820E-04   0.101E-03   0.101E-03
  0.794E+02    0.955E-04   0.000E+00   0.955E-04   0.260E-04   0.716E-04   0.239E-04
  0.100E+03    0.448E-04   0.000E+00   0.448E-04   0.103E-04   0.314E-04   0.134E-04
